INDICAÇÃO,TÍTULO,AUTOR,EDITORA,QUANT,VALOR UNITÁRIO,VALOR TOTAL
FUNDAMENTAL II,USINA,JOSE LINS DO REGO,GLOBAL,1100,75,82500
FUNDAMENTAL II,VAQUEIRO E CANTADORES PARA JOVENS,LUIS DA CAMARA CASCUDO,GLOBAL,1100,65,71500
FUNDAMENTAL II,1808 - UM MIL OITOCENTOS E OITO,LAURENTINO GOMES,GLOBO,1100,80,88000
FUNDAMENTAL II,A CIDADE DO SOL ,KHALED HOSSEINI,GLOBO,1100,60,66000
FUNDAMENTAL II,A MOCINHA DO MERCADO CENTRAL ,STELLA MARIS REZENDE ,GLOBO,1100,80,88000
FUNDAMENTAL II,COMO OS ANIMAIS SALVARAM MINHA VIDA,LUISA MELL,GLOBO,1100,60,66000
FUNDAMENTAL II,DROPZ,RITA LEE,GLOBO,1100,60,66000
FUNDAMENTAL II,E NÃO SOBROU NENHUM,AGATHA CHRISTIE,GLOBO,1100,60,66000
FUNDAMENTAL II,ENTRE DEUSES E MONSTROS ,LIA NEIVA ,GLOBO,1100,80,88000
FUNDAMENTAL II,ESCRAVIDÃO - VOL. 01 - DO PRIMEIRO LEILÃO DE CATIVO,LAURENTINO GOMES ,GLOBO,1100,80,88000
FUNDAMENTAL II,GUERRA DE NARRATIVAS ,LUCIANO TRIGO ,GLOBO,1100,60,66000
FUNDAMENTAL II,INTELIGÊNCIA ARTIFICIAL ,KAI-FU LEE,GLOBO,1100,65,71500
FUNDAMENTAL II,MAIS VOCE - 10 ANOS ,ANA MARIA BRAGA,GLOBO,1100,100,110000
FUNDAMENTAL II,MEDIDA CERTA COMO CHEGAR LA! ,ZECA CAMARGO ,GLOBO,1100,70,77000
FUNDAMENTAL II,MINHA VIDA COM BORIS ,THAYS MASTINEZ ,GLOBO,1100,70,77000
FUNDAMENTAL II,O CAÇADOR DE PIPAS,KHALED HOSSEINI,GLOBO,1100,60,66000
FUNDAMENTAL II,O LIVRO DA ECOLOGIA ,VÁRIOS AUTORES ,GLOBO,1100,80,88000
FUNDAMENTAL II,O LIVRO DA ECONOMIA,VÁRIOS AUTORES ,GLOBO,1100,80,88000
FUNDAMENTAL II,O LIVRO DA FILOSOFIA,VÁRIOS AUTORES ,GLOBO,1100,80,88000
FUNDAMENTAL II,O LIVRO DA MÚSICA CLÁSSICA,VÁRIOS AUTORES ,GLOBO,1100,80,88000
FUNDAMENTAL II,O LIVRO DENTRO DA CONCHA ,RICARDO FILHO,GLOBO,1100,80,88000
FUNDAMENTAL II,O LIVRO DO CINEMA,VÁRIOS AUTORES ,GLOBO,1100,80,88000
FUNDAMENTAL II,O SEGREDO DO MEU TURBANTE,AGNÈS ROTGER; NADIA GHULAM,GLOBO,1100,60,66000
FUNDAMENTAL II,OS ZERÓIS ,ZIRALDO ALVES PINTO,GLOBO,1100,110,121000
FUNDAMENTAL II,PRECISAMOS FALAR SOBRE ABUSO,ROXANE GAY,GLOBO,1100,60,66000
FUNDAMENTAL II,VOCÊ ME AJUDA? - CONVERSAS SOBRE DROGAS NA ESCOLA,GILSON YQSHIOKA,HEDRA EDUCAÇÃO,1100,56,61600
FUNDAMENTAL II,A HISTÓRIA DOS NOVOS BAIANOS,MORAES MOREIRA,IMEPH,1100,45,49500
FUNDAMENTAL II,A LÍNGUA QUE A GENTE FALA,SOCORRO LIRA,IMEPH,1100,40,44000
FUNDAMENTAL II,A POEIRA E A ESTRADA,MACIEL MELO,IMEPH,1100,60,66000
FUNDAMENTAL II,A TURMA DO XAXADO: VOLUME 3 E 4,ANTONIO CEDRAZ,IMEPH,1100,75,82500
FUNDAMENTAL II,ABC DA FLORESTA AMAZÔNICA,"POLLYANNA FURTADO, THIAGO DE MELLO",IMEPH,1100,50,55000
FUNDAMENTAL II,ÁFRICA: UM BREVE PASSEIO PELAS RIQUEZAS E GRANDEZAS AFRICANAS,FERNANDO PAIXÃO,IMEPH,1100,48,52800
FUNDAMENTAL II,ANDEI POR AÍ,PAOLA TÔRRES,IMEPH,1100,80,88000
FUNDAMENTAL II,BANDEIRA SOBRINHO: UMA VIDA E ALGUNS VERSOS,BRAULIO TAVARES,IMEPH,1100,70,77000
FUNDAMENTAL II,BREVES ANOTAÇÕES DE UM ANDARILHO,MARCOS MAIRTON,IMEPH,1100,80,88000
FUNDAMENTAL II,CANÇÃO DOS POVOS AFRICANOS,FERNANDO PAIXÃO,IMEPH,1100,38,41800
FUNDAMENTAL II,CARNE E ALMA,ROGACIANO LEITE,IMEPH,1100,70,77000
FUNDAMENTAL II,CONTOS QUE ME CONTARAM,ANA THAIS FEITOSA,IMEPH,1100,60,66000
FUNDAMENTAL II,CRAVO VERMELHO E ALGUNS CONSELHOS,"LENICE GOMES, WALTHER MOREIRA SANTOS",IMEPH,1100,38,41800
FUNDAMENTAL II,CREPUSCULARES SONETOS,JOSE WALTER PIRES,IMEPH,1100,60,66000
FUNDAMENTAL II,DESEJO DE ÁRVORES E PÁSSAROS,ROSEANA MURRAY,IMEPH,1100,70,77000
FUNDAMENTAL II,DUAS LENDAS INDÍGENAS DE AMOR,FERNANDO PAIXÃO,IMEPH,1100,40,44000
FUNDAMENTAL II,"E VOCÊ, O QUE VAI FAZER?",JULIANA BARROSO TAVARES PARENTE,IMEPH,1100,40,44000
FUNDAMENTAL II,FESTA DE BOIS,"ARLENE HOLANDA, LENICE GOMES",IMEPH,1100,42,46200
FUNDAMENTAL II,FIOS QUE ATRAVESSAM O TEMPO,"ANA NEILA TORQUATO, HOZANA COSTA, ROSE COSTA",IMEPH,1100,40,44000
FUNDAMENTAL II,LEITURA ENCANTADA 2: GÊNEROS TEXTUAIS,LUCINDA AZEVEDO,IMEPH,1100,150,165000
FUNDAMENTAL II,LUIZ LUA ALEGRIA,PAULO MATRICÓ,IMEPH,1100,65,71500
FUNDAMENTAL II,O CONFEITEIRO DE JARDIM,SILVANA DE MENEZES,IMEPH,1100,50,55000
FUNDAMENTAL II,O DUENDE E AS LETRAS ENCANTADAS,EVARISTO GERALDO,IMEPH,1100,65,71500
FUNDAMENTAL II,O GRANDE JOAQUIM NABUCO E A OBRA DA ESCRAVIDÃO,CRISPINIANO NETO,IMEPH,1100,65,71500
FUNDAMENTAL II,O LABIRINTO DO MINOTAURO,SEVERINO RODRIGUES,IMEPH,1100,42,46200
FUNDAMENTAL II,O PEQUENO PRÍNCIPE,ANTOINE DE SAINT-EXUPÉRY,IMEPH,1100,45,49500
